City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
71,Birao,CF,2021-11-01 00:56:45,10.2849,22.7882,76.3,39,97,3.58,overcast clouds,0,0
72,Alta Floresta,BR,2021-11-01 00:58:49,-9.8756,-56.0861,70.48,99,98,4.34,overcast clouds,0,0
73,Lebu,CL,2021-11-01 00:58:50,-37.6167,-73.65,50.92,93,17,5.99,few clouds,0,0
74,Korla,CN,2021-11-01 00:58:50,41.7597,86.1469,45.05,31,8,3.83,clear sky,0,0
75,Mar Del Plata,AR,2021-11-01 00:58:50,-38.0023,-57.5575,55.09,90,90,5.01,light rain,0,0
76,Castro,BR,2021-11-01 00:58:51,-24.7911,-50.0119,58.69,98,97,6.85,overcast clouds,0,0
77,Bogandinskiy,RU,2021-11-01 00:58:51,56.8937,65.8938,37.67,95,100,8.5,overcast clouds,0,0
78,Gainesville,US,2021-11-01 00:58:51,29.6516,-82.3248,61.09,70,0,4.0,clear sky,0,0
79,Avarua,CK,2021-11-01 00:58:52,-21.2078,-159.775,77.05,69,75,14.97,broken clouds,0,0
80,Tyrma,RU,2021-11-01 00:58:52,50.0833,132.1667,31.8,41,7,0.54,clear sky,0,0
81,Vaini,TO,2021-11-01 00:58:52,-21.2,-175.2,82.56,78,75,10.36,broken clouds,0,0
82,Champerico,GT,2021-11-01 00:58:53,14.3,-91.9167,81.36,82,100,2.35,overcast clouds,0,0
83,Tessalit,ML,2021-11-01 00:58:53,20.1986,1.0114,81.16,15,1,10.29,clear sky,0,0
84,Hilo,US,2021-11-01 00:58:53,19.7297,-155.09,81.25,88,23,1.99,few clouds,0,0
85,Saint-Pierre,RE,2021-11-01 00:58:54,-21.3393,55.4781,68.29,72,0,5.75,clear sky,0,0
86,Bereda,ES,2021-11-01 00:56:17,43.2686,-7.5406,51.55,94,97,4.97,overcast clouds,0,0
87,Tabasco,MX,2021-11-01 00:58:54,18.0,-92.6667,70.95,87,24,3.36,few clouds,0,0
88,San Patricio,US,2021-11-01 00:58:54,28.017,-97.5169,76.84,58,0,9.28,clear sky,0,0
89,Barrow,US,2021-11-01 00:57:22,71.2906,-156.7887,23.97,94,100,15.3,overcast clouds,0,0
90,Yellowknife,CA,2021-11-01 00:58:55,62.456,-114.3525,32.56,96,75,13.8,broken clouds,0,0
91,Victoria,HK,2021-11-01 00:57:40,22.2855,114.1577,78.24,81,37,1.01,scattered clouds,0,0
92,Fortuna,US,2021-11-01 00:58:55,40.5982,-124.1573,61.93,68,90,5.99,overcast clouds,0,0
93,Sao Filipe,CV,2021-11-01 00:55:51,14.8961,-24.4956,79.39,78,99,6.46,overcast clouds,0,0
94,New Norfolk,AU,2021-11-01 00:55:33,-42.7826,147.0587,63.66,49,100,4.0,overcast clouds,0,0
95,Hermanus,ZA,2021-11-01 00:54:12,-34.4187,19.2345,60.91,81,100,10.8,overcast clouds,0,0
96,Aksarka,RU,2021-11-01 00:58:56,66.5606,67.7975,-1.05,88,78,3.06,broken clouds,0,0
97,Lavrentiya,RU,2021-11-01 00:58:57,65.5833,-171.0,13.46,78,100,10.2,overcast clouds,0,0
98,Tura,IN,2021-11-01 00:58:44,25.5198,90.2201,62.4,79,0,3.13,clear sky,0,0
99,Kahului,US,2021-11-01 00:58:57,20.8947,-156.47,83.97,75,5,5.01,clear sky,0,0
100,Airai,TL,2021-11-01 00:58:57,-8.9266,125.4092,73.96,47,55,2.13,broken clouds,0,0
101,Acapulco,MX,2021-11-01 00:56:42,16.8634,-99.8901,79.48,81,100,1.3,overcast clouds,0,0
