City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Kapaa,22.0752,-159.319,84.18,80,40,1.99,US,2021-10-26 01:22:58
91,Hami,42.8,93.45,49.32,31,0,6.87,CN,2021-10-26 01:31:32
92,Port Macquarie,-31.4333,152.9167,71.89,59,60,7.4,AU,2021-10-26 01:28:43
93,Khatanga,71.9667,102.5,4.32,96,100,5.93,RU,2021-10-26 01:25:59
94,Hobart,-42.8794,147.3294,59.05,57,75,1.01,AU,2021-10-26 01:25:31
95,Port Lincoln,-34.7333,135.8667,72.68,39,100,17.05,AU,2021-10-26 01:28:20
96,Ambanja,-13.6833,48.45,72.03,88,26,3.47,MG,2021-10-26 01:31:34
97,Puerto Carreno,6.189,-67.4859,78.94,80,100,4.81,CO,2021-10-26 01:31:34
98,Port-Gentil,-0.7193,8.7815,76.12,88,100,6.02,GA,2021-10-26 01:31:34
99,Bonthe,7.5264,-12.505,76.96,88,100,6.6,SL,2021-10-26 01:31:35
100,Osa,57.2829,55.4567,25.47,85,21,6.46,RU,2021-10-26 01:31:35
101,Alness,57.696,-4.2551,50.23,92,100,5.57,GB,2021-10-26 01:31:35
102,Gisors,49.2818,1.7801,51.94,94,6,6.38,FR,2021-10-26 01:31:36
103,Tiarei,-17.5333,-149.3333,80.62,74,98,5.17,PF,2021-10-26 01:31:36
104,Lavrentiya,65.5833,-171.0,17.69,76,100,9.35,RU,2021-10-26 01:31:36
105,Jamestown,42.097,-79.2353,56.84,91,75,3.0,US,2021-10-26 01:26:44
106,Hasaki,35.7333,140.8333,61.29,85,100,34.56,JP,2021-10-26 01:27:19
107,Oktyabrskiy,54.4815,53.471,29.16,74,100,5.1,RU,2021-10-26 01:31:37
108,Bridlington,54.0831,-0.1919,46.89,85,60,11.43,GB,2021-10-26 01:31:38
109,Lebu,-37.6167,-73.65,52.48,93,13,13.82,CL,2021-10-26 01:25:59
110,Hay River,60.8156,-115.7999,42.78,81,75,9.22,CA,2021-10-26 01:28:36
111,Lata,40.1629,-8.3327,58.82,86,0,3.76,PT,2021-10-26 01:31:38
112,Nipawin,53.3668,-104.0009,44.64,70,90,13.8,CA,2021-10-26 01:30:21
113,Axim,4.8699,-2.2405,77.34,89,100,8.25,GH,2021-10-26 01:31:39
114,Cherskiy,68.75,161.3,-5.94,92,100,1.77,RU,2021-10-26 01:31:39
115,Port Elizabeth,-33.918,25.5701,62.89,88,0,10.36,ZA,2021-10-26 01:26:54
116,Labuhan,-6.8844,112.2051,87.08,60,24,3.87,ID,2021-10-26 01:31:40
117,Tyukhtet,56.5389,89.3011,37.09,90,88,3.83,RU,2021-10-26 01:31:40
118,Bengkulu,-3.8004,102.2655,77.59,83,100,2.53,ID,2021-10-26 01:27:14
119,Lagoa,39.05,-27.9833,67.08,73,0,11.52,PT,2021-10-26 01:28:42
120,Kongoussi,13.3258,-1.5347,81.77,45,12,5.82,BF,2021-10-26 01:31:41
121,Singaraja,-8.112,115.0882,83.97,63,99,1.54,ID,2021-10-26 01:31:41
122,Plettenberg Bay,-34.0527,23.3716,57.06,88,32,5.57,ZA,2021-10-26 01:26:32
123,Victoria,22.2855,114.1577,77.32,75,100,1.01,HK,2021-10-26 01:24:45
124,Prado,-17.3411,-39.2208,75.33,93,90,5.28,BR,2021-10-26 01:31:42
125,Puerto Colombia,10.9878,-74.9547,82.49,79,1,18.5,CO,2021-10-26 01:28:06
126,Sakakah,29.9697,40.2064,65.77,31,0,3.91,SA,2021-10-26 01:31:42
127,Longyearbyen,78.2186,15.6401,17.44,62,0,11.5,SJ,2021-10-26 01:26:36
128,Black River,18.0264,-77.8487,82.4,79,27,4.59,JM,2021-10-26 01:31:43
129,Narsaq,60.9167,-46.05,39.42,46,3,7.56,GL,2021-10-26 01:25:56
130,Coihaique,-45.5752,-72.0662,48.15,81,100,8.05,CL,2021-10-26 01:28:09
131,Morondava,-20.2833,44.2833,76.98,71,43,3.56,MG,2021-10-26 01:31:44
132,Mnogovershinnyy,53.9353,139.9242,40.87,70,17,3.62,RU,2021-10-26 01:31:44
133,Tarko-Sale,64.9225,77.785,24.58,89,100,8.3,RU,2021-10-26 01:31:45
134,Coquimbo,-29.9533,-71.3436,56.93,86,20,1.32,CL,2021-10-26 01:29:21
135,Yakeshi,49.2833,120.7333,36.39,76,18,10.94,CN,2021-10-26 01:29:11
136,Touba,8.2833,-7.6833,70.16,95,88,1.03,CI,2021-10-26 01:31:45
137,Pingliang,35.5392,106.6861,47.98,57,95,5.77,CN,2021-10-26 01:31:46
138,Constantine,36.365,6.6147,54.81,94,75,4.61,DZ,2021-10-26 01:31:46
139,Santa Barbara,34.7333,-120.0343,54.79,75,1,5.75,US,2021-10-26 01:27:12
140,San Blas,21.5167,-105.2667,79.18,88,97,2.51,MX,2021-10-26 01:31:47
141,Airai,-8.9266,125.4092,75.97,34,67,2.62,TL,2021-10-26 01:26:06
142,Ponta Do Sol,32.6667,-17.1,69.01,67,1,6.31,PT,2021-10-26 01:26:58
143,Saint-Augustin,51.226,-58.6502,37.4,70,23,7.56,CA,2021-10-26 01:28:14
144,Bockenem,52.0099,10.132,53.22,87,100,8.48,DE,2021-10-26 01:31:48
145,Portland,45.5234,-122.6762,53.83,90,90,4.0,US,2021-10-26 01:24:51
146,Saint-Francois,46.4154,3.9054,50.68,96,90,2.3,FR,2021-10-26 01:31:49
147,Beidao,34.5686,105.8933,46.74,85,100,4.38,CN,2021-10-26 01:31:49
148,Kota Tinggi,1.7381,103.8999,84.88,70,94,3.33,MY,2021-10-26 01:31:49
149,Yerbogachen,61.2767,108.0108,31.91,97,100,8.77,RU,2021-10-26 01:31:50
150,Huainan,32.6264,116.9969,63.95,58,100,4.23,CN,2021-10-26 01:30:44
151,Svobodnyy,51.4,128.1333,43.38,62,99,3.58,RU,2021-10-26 01:31:50
152,Vlasotince,42.9636,22.1231,44.06,80,0,4.43,RS,2021-10-26 01:31:51
153,Sitka,57.0531,-135.33,48.09,71,75,0.0,US,2021-10-26 01:25:57
154,Iquique,-20.2208,-70.1431,60.84,69,1,1.16,CL,2021-10-26 01:30:44
155,Talnakh,69.4865,88.3972,15.24,96,100,6.11,RU,2021-10-26 01:27:25
156,Ancud,-41.8697,-73.8203,51.42,96,100,14.72,CL,2021-10-26 01:26:32
157,Broome,42.2506,-75.833,63.36,76,90,1.01,US,2021-10-26 01:26:16
158,Los Llanos De Aridane,28.6585,-17.9182,65.95,82,0,5.01,ES,2021-10-26 01:26:03
159,Cabadiangan,9.7531,122.4739,85.53,70,100,3.0,PH,2021-10-26 01:31:52
160,Mehamn,71.0357,27.8492,32.22,89,100,23.17,NO,2021-10-26 01:31:53
161,Bethel,41.3712,-73.414,66.99,92,90,1.01,US,2021-10-26 01:26:04
162,Balad,34.0164,44.1453,66.24,29,1,2.82,IQ,2021-10-26 01:31:53
163,North Platte,41.1239,-100.7654,44.49,81,1,8.05,US,2021-10-26 01:23:39
164,Naze,28.3667,129.4833,70.72,59,7,13.06,JP,2021-10-26 01:26:39
165,Porosozero,62.7191,32.727,38.98,98,100,7.61,RU,2021-10-26 01:31:54
166,Orotukan,62.2667,151.7,8.4,88,19,1.86,RU,2021-10-26 01:31:54
167,Weyburn,49.6668,-103.8511,44.82,76,85,23.02,CA,2021-10-26 01:31:55
168,Manzhouli,49.6,117.4333,36.0,66,6,20.09,CN,2021-10-26 01:31:55
169,Bayir,37.2687,28.2167,46.92,63,58,3.53,TR,2021-10-26 01:31:56
170,Okahandja,-21.9833,16.9167,59.31,33,0,3.09,NA,2021-10-26 01:31:56
171,Sistranda,63.7256,8.834,49.89,81,100,7.99,NO,2021-10-26 01:27:30
172,Mairang,25.5667,91.6333,54.52,68,0,2.71,IN,2021-10-26 01:31:56
173,Kodinar,20.7903,70.7031,74.05,47,6,9.33,IN,2021-10-26 01:31:57
174,Alice Springs,-23.7,133.8833,90.95,27,0,14.97,AU,2021-10-26 01:25:06
175,Waingapu,-9.6567,120.2641,87.69,60,99,9.98,ID,2021-10-26 01:31:57
176,Verkhnevilyuysk,63.4453,120.3167,31.33,89,100,6.02,RU,2021-10-26 01:27:08
177,Husavik,66.0449,-17.3389,28.31,78,95,7.47,IS,2021-10-26 01:31:58
178,Urengoy,65.9667,78.3667,20.12,94,100,6.26,RU,2021-10-26 01:31:58
179,Kutulik,53.3508,102.7839,42.22,47,26,2.51,RU,2021-10-26 01:31:59
180,Tuatapere,-46.1333,167.6833,60.46,80,98,4.72,NZ,2021-10-26 01:26:17
181,Lompoc,34.6391,-120.4579,61.57,83,40,13.8,US,2021-10-26 01:27:52
182,High Level,58.5169,-117.136,39.31,100,90,6.91,CA,2021-10-26 01:28:41
183,Svetlogorsk,52.6333,29.7333,33.87,66,82,9.64,BY,2021-10-26 01:32:00
184,Jumla,29.2747,82.1838,49.3,63,1,2.33,NP,2021-10-26 01:32:00
185,Butaritari,3.0707,172.7902,81.9,74,2,6.51,KI,2021-10-26 01:28:08
186,Birjand,32.8663,59.2211,47.03,38,0,4.36,IR,2021-10-26 01:32:01
187,Coahuayana,18.7333,-103.6833,80.08,86,100,2.93,MX,2021-10-26 01:27:28
188,Forestville,38.8451,-76.875,65.66,95,90,9.22,US,2021-10-26 01:32:01
189,Tasiilaq,65.6145,-37.6368,37.56,80,100,8.39,GL,2021-10-26 01:28:13
190,Parana,-31.732,-60.5238,70.63,44,0,8.75,AR,2021-10-26 01:29:39
191,Sola,-13.8833,167.55,81.86,72,20,15.82,VU,2021-10-26 01:32:02
192,Mormugao,15.4,73.8,76.26,94,90,2.3,IN,2021-10-26 01:32:02
193,Middelburg,-25.7751,29.4648,55.87,86,51,8.23,ZA,2021-10-26 01:32:03
194,Sisimiut,66.9395,-53.6735,16.81,67,0,12.59,GL,2021-10-26 01:27:14
195,Dingle,10.9995,122.6711,82.83,78,100,9.15,PH,2021-10-26 01:27:14
196,Kattivakkam,13.2167,80.3167,78.89,66,47,7.25,IN,2021-10-26 01:32:04
197,Devonport,-41.1667,146.35,59.09,50,0,7.36,AU,2021-10-26 01:32:04
198,Wadi Maliz,36.4681,8.5495,64.06,84,85,5.14,TN,2021-10-26 01:32:04
199,Komsomolskiy,40.4272,71.7189,43.52,52,24,4.61,UZ,2021-10-26 01:32:05
200,Hithadhoo,-0.6,73.0833,82.81,67,100,15.35,MV,2021-10-26 01:22:02
201,Port Hedland,-20.3167,118.5667,87.85,51,1,13.8,AU,2021-10-26 01:32:05
202,Alofi,-19.0595,-169.9187,82.29,61,40,12.66,NU,2021-10-26 01:26:38
203,Monster,52.0258,4.175,53.98,92,20,1.01,NL,2021-10-26 01:32:06
204,Codrington,-38.2667,141.9667,60.35,49,96,7.65,AU,2021-10-26 01:26:17
205,San Lawrenz,36.0553,14.204,67.41,95,88,5.01,MT,2021-10-26 01:32:06
206,Raton,36.9034,-104.4391,65.05,21,1,10.36,US,2021-10-26 01:32:07
207,Townsville,-19.25,146.8,86.88,55,100,13.8,AU,2021-10-26 01:30:00
208,Severo-Kurilsk,50.6789,156.125,46.63,77,59,14.63,RU,2021-10-26 01:28:32
209,Atherton,53.5237,-2.4935,50.11,91,100,1.99,GB,2021-10-26 01:29:13
210,Reconquista,-29.15,-59.65,66.78,53,0,9.31,AR,2021-10-26 01:32:08
211,Leh,34.1667,77.5833,25.59,71,7,2.55,IN,2021-10-26 01:26:53
212,Cayenne,4.9333,-52.3333,78.1,88,20,3.0,GF,2021-10-26 01:26:31
213,Pascagoula,30.3658,-88.5561,75.24,95,1,0.0,US,2021-10-26 01:32:08
214,Fortuna,40.5982,-124.1573,58.93,70,90,3.0,US,2021-10-26 01:26:58
215,Sechura,-5.5569,-80.8222,66.34,74,100,14.76,PE,2021-10-26 01:32:09
216,Muros,42.7762,-9.0603,59.85,96,0,6.38,ES,2021-10-26 01:27:43
217,Chuy,-33.6971,-53.4616,59.81,79,0,6.55,UY,2021-10-26 01:28:00
218,Kincardine,56.0667,-3.7167,50.38,96,100,10.87,GB,2021-10-26 01:32:09
219,Iqaluit,63.7506,-68.5145,31.73,86,90,8.99,CA,2021-10-26 01:25:52
220,Panacan,9.2463,118.4082,84.25,74,65,5.59,PH,2021-10-26 01:32:10
221,Cidreira,-30.1811,-50.2056,64.8,80,0,9.31,BR,2021-10-26 01:23:11
222,Balkhash,46.844,74.9804,34.41,75,0,11.18,KZ,2021-10-26 01:32:10
